,fit,vac,mse,rmse,mae,depth,ests,group
4791,RF,0.8877155422596497,0.02051259243243243,0.14322217856335112,0.09804684684684702,100,50,control
4792,RF,0.9285277520714866,0.006415978018018023,0.08009980036191115,0.03631891891891922,100,50,control
4793,RF,0.9796743347595179,0.003541294414414421,0.059508775944514446,0.03665945945945965,100,50,control
4794,RF,0.9660356158883533,0.00316197602928571,0.05623145053513834,0.03704102380952375,10,100,cocaine
4795,RF,0.9543602667741456,0.007406055214285696,0.08605844069169331,0.055741190476190305,10,100,cocaine
4796,RF,0.9377233224262761,0.006166767203730151,0.07852876672742384,0.05302816666666654,10,100,cocaine
4797,RF,0.9551367964001676,0.009236603678571412,0.09610725091569008,0.05392285714285716,10,100,cocaine
4798,RF,0.9778020758624754,0.0035678065456349233,0.05973111873751339,0.030258214285714225,10,100,cocaine
4799,RF,0.976387014054149,0.0033894922142857008,0.05821934570472002,0.032757857142856985,10,100,cocaine
4800,RF,0.9701618681117622,0.0022349788373015873,0.04727556279201325,0.033166190476190474,10,100,cocaine
4801,RF,0.9553800701053397,0.009404100749999979,0.09697474284575329,0.05690428571428562,10,100,cocaine
4802,RF,0.9484627200659823,0.006614904539841261,0.08133206341807185,0.054615047619047605,10,100,cocaine
4803,RF,0.9417730236277304,0.006189366870034412,0.0786725293227211,0.05480303571428565,10,100,cocaine
4804,RF,0.9873937626218453,0.0022601941031746074,0.04754149874766894,0.024997857142857276,10,100,cocaine
4805,RF,0.9585303439600865,0.005083488175873017,0.07129858466949408,0.04478857142857141,10,100,cocaine
4806,RF,1.0,2.1723526807715828e-31,4.66085043824792e-16,2.317590563905014e-16,10,100,cocaine
4807,RF,0.9875882168435126,0.001701947464285715,0.041254665969872005,0.022785714285714274,10,100,cocaine
4808,RF,0.9760486047260718,0.0016158119607936517,0.04019716359139848,0.02929547619047621,10,100,cocaine
4809,RF,0.9280360038146891,0.009357911309442826,0.09673629778652285,0.0549676530612244,10,100,cocaine
4810,RF,0.9780337411944122,0.003202626178571422,0.05659175009284853,0.04208642857142846,10,100,cocaine
4811,RF,0.9458168512578786,0.011507493428571405,0.10727298554888554,0.05844714285714288,10,100,cocaine
4812,RF,0.9882638394114749,0.0025241245000000006,0.05024066579972842,0.017627857142857323,10,100,cocaine
4813,RF,0.9362981130510617,0.00995013431344933,0.09975035996651506,0.06284780952380942,10,100,cocaine
4814,RF,0.9670821749715641,0.0030983029892650152,0.05566240193582213,0.04031317838246407,10,100,cocaine
4815,RF,0.9601783311000662,0.004825674966269834,0.0694670782908698,0.04237749999999998,10,100,cocaine
4816,RF,0.9580250330830841,0.005053601626763441,0.07108868845859685,0.04937540986394551,10,100,cocaine
4817,RF,0.9698594895402638,0.004294179999999996,0.06552999313291584,0.04350270270270271,10,100,control
4818,RF,0.9513192505978751,0.006428919471153833,0.08018054297118368,0.05839358974358956,10,100,control
4819,RF,0.954279214280524,0.004381578637837835,0.06619349392378253,0.048935135135135054,10,100,control
4820,RF,0.8939786374599034,0.020256317099599585,0.14232468900229356,0.10587252252252244,10,100,control
4821,RF,0.9592523263020429,0.004761172367367369,0.06900124902758913,0.05081801801801799,10,100,control
4822,RF,0.969625992568019,0.003654378901401395,0.06045145905105513,0.041063063063062975,10,100,control
4823,RF,0.9493899023239579,0.006106538558758748,0.07814434438114347,0.053344684684684535,10,100,control
4824,RF,0.9752081286695636,0.0034950791835835814,0.059119194713591804,0.03660030030030023,10,100,control
4825,RF,0.9408452264511589,0.008390991081081071,0.0916023530324471,0.06375285285285276,10,100,control
4826,RF,0.9800974954032946,0.002930238918918908,0.05413168128664496,0.02646306306306308,10,100,control
4827,RF,0.9909382474240553,0.0016764614414414404,0.04094461431545595,0.020365765765765827,10,100,control
4828,RF,0.9776503492309211,0.0021764667117117067,0.04665261741544312,0.03522072072072063,10,100,control
4829,RF,0.953795244043459,0.0053066242842842795,0.0728465804570419,0.04673393393393376,10,100,control
4830,RF,0.9394916102646294,0.007043920090090082,0.08392806497286877,0.062343243243243134,10,100,control
4831,RF,0.9673269519528412,0.005820921621621611,0.0762949645889007,0.04630810810810803,10,100,control
4832,RF,0.9719410088819963,0.0038520615498151118,0.06206497844851887,0.03973603603603592,10,100,control
4833,RF,0.973452516791782,0.003393806896896898,0.058256389322518934,0.038243543543543514,10,100,control
4834,RF,0.9728266256470822,0.0009942018918918918,0.031530967189286975,0.018319819819819772,10,100,control
4835,RF,0.9601715825437471,0.007229657827827826,0.08502739457273653,0.047079579579579714,10,100,control
4836,RF,0.9997768440082626,3.060234234234284e-05,0.005531938389239602,0.0027423423423426053,10,100,control
4837,RF,0.944610883132421,0.012557478378378369,0.11206015517737948,0.06614054054054047,10,100,control
4838,RF,0.8903592343595272,0.020029631747997986,0.1415260815114938,0.10242837837837822,10,100,control
